tTrackImages,tTrackimage1_height,tTrackimage1_url,tTracktimage1_width,tTrackimage2_height,tTrackimage2_url,tTracktimage2_width,tTrackimage3_height,tTrackimage3_url,tTracktimage3_width,rplTrackArtist,rplTrackExternalurls,rplTrackName,rplTrackPopularity,rplTrackURI,file_name
[],640,https://i.scdn.co/image/ab67616d0000b2732e651648db439a9b5995e065,640,300,https://i.scdn.co/image/ab67616d00001e022e651648db439a9b5995e065,300,64,https://i.scdn.co/image/ab67616d000048512e651648db439a9b5995e065,64,Ariana Grande,https://open.spotify.com/track/1ywoy5kdf2LsG2019ClGjm,Knew Better / Forever Boy,56,spotify:track:1ywoy5kdf2LsG2019ClGjm,userProfileDataTracksApp
[],640,https://i.scdn.co/image/ab67616d0000b2736484dfce3cc12e68d8aa2e55,640,300,https://i.scdn.co/image/ab67616d00001e026484dfce3cc12e68d8aa2e55,300,64,https://i.scdn.co/image/ab67616d000048516484dfce3cc12e68d8aa2e55,64,Ariana Grande,https://open.spotify.com/track/6STFK268EWdTPZeRNlAs1n,my hair,49,spotify:track:6STFK268EWdTPZeRNlAs1n,userProfileDataTracksApp
[],640,https://i.scdn.co/image/ab67616d0000b273c3af0c2355c24ed7023cd394,640,300,https://i.scdn.co/image/ab67616d00001e02c3af0c2355c24ed7023cd394,300,64,https://i.scdn.co/image/ab67616d00004851c3af0c2355c24ed7023cd394,64,Ariana Grande,https://open.spotify.com/track/14kYOiFVPb7E7NfFbqhdln,goodnight n go,69,spotify:track:14kYOiFVPb7E7NfFbqhdln,userProfileDataTracksApp
[],640,https://i.scdn.co/image/ab67616d0000b27356ac7b86e090f307e218e9c8,640,300,https://i.scdn.co/image/ab67616d00001e0256ac7b86e090f307e218e9c8,300,64,https://i.scdn.co/image/ab67616d0000485156ac7b86e090f307e218e9c8,64,Ariana Grande,https://open.spotify.com/track/2vdBo4ALPYbHRUPKgtE5iC,ghostin,69,spotify:track:2vdBo4ALPYbHRUPKgtE5iC,userProfileDataTracksApp
[],640,https://i.scdn.co/image/ab67616d0000b273540ab7c149079184e8724dc4,640,300,https://i.scdn.co/image/ab67616d00001e02540ab7c149079184e8724dc4,300,64,https://i.scdn.co/image/ab67616d00004851540ab7c149079184e8724dc4,64,"Nicki Minaj, Ariana Grande",https://open.spotify.com/track/3L4GsGLgxpHieVQH86H8bv,Bed (feat. Ariana Grande),64,spotify:track:3L4GsGLgxpHieVQH86H8bv,userProfileDataTracksApp
[],640,https://i.scdn.co/image/ab67616d0000b273deec12a28d1e336c5052e9aa,640,300,https://i.scdn.co/image/ab67616d00001e02deec12a28d1e336c5052e9aa,300,64,https://i.scdn.co/image/ab67616d00004851deec12a28d1e336c5052e9aa,64,Ariana Grande,https://open.spotify.com/track/5lvnGiTAH9BVlJLHc0DXZz,Just A Little Bit Of Your Heart,61,spotify:track:5lvnGiTAH9BVlJLHc0DXZz,userProfileDataTracksApp
[],640,https://i.scdn.co/image/ab67616d0000b2736484dfce3cc12e68d8aa2e55,640,300,https://i.scdn.co/image/ab67616d00001e026484dfce3cc12e68d8aa2e55,300,64,https://i.scdn.co/image/ab67616d000048516484dfce3cc12e68d8aa2e55,64,Ariana Grande,https://open.spotify.com/track/0egpmBxmeALIzcq2C1BOb7,shut up,48,spotify:track:0egpmBxmeALIzcq2C1BOb7,userProfileDataTracksApp
[],640,https://i.scdn.co/image/ab67616d0000b273aae542061ac42ee04779fb2f,640,300,https://i.scdn.co/image/ab67616d00001e02aae542061ac42ee04779fb2f,300,64,https://i.scdn.co/image/ab67616d00004851aae542061ac42ee04779fb2f,64,"Troye Sivan, Ariana Grande",https://open.spotify.com/track/2NjO87HyT80fsgejd3PLYW,Dance To This (feat. Ariana Grande),68,spotify:track:2NjO87HyT80fsgejd3PLYW,userProfileDataTracksApp
[],640,https://i.scdn.co/image/ab67616d0000b27356ac7b86e090f307e218e9c8,640,300,https://i.scdn.co/image/ab67616d00001e0256ac7b86e090f307e218e9c8,300,64,https://i.scdn.co/image/ab67616d0000485156ac7b86e090f307e218e9c8,64,Ariana Grande,https://open.spotify.com/track/4uTvPEr01pjTbZgl7jcKBD,NASA,67,spotify:track:4uTvPEr01pjTbZgl7jcKBD,userProfileDataTracksApp
[],640,https://i.scdn.co/image/ab67616d0000b273c75a14e746ffe2030e8cd5da,640,300,https://i.scdn.co/image/ab67616d00001e02c75a14e746ffe2030e8cd5da,300,64,https://i.scdn.co/image/ab67616d00004851c75a14e746ffe2030e8cd5da,64,"Ariana Grande, Nonna",https://open.spotify.com/track/0fCINfrtQdkFSj6enmeEDt,ordinary things (feat. Nonna),62,spotify:track:0fCINfrtQdkFSj6enmeEDt,userProfileDataTracksApp
[],640,https://i.scdn.co/image/ab67616d0000b27356ac7b86e090f307e218e9c8,640,300,https://i.scdn.co/image/ab67616d00001e0256ac7b86e090f307e218e9c8,300,64,https://i.scdn.co/image/ab67616d0000485156ac7b86e090f307e218e9c8,64,Ariana Grande,https://open.spotify.com/track/4T652DlATVHe0jdLKaN3Bw,in my head,70,spotify:track:4T652DlATVHe0jdLKaN3Bw,userProfileDataTracksApp
[],640,https://i.scdn.co/image/ab67616d0000b273deec12a28d1e336c5052e9aa,640,300,https://i.scdn.co/image/ab67616d00001e02deec12a28d1e336c5052e9aa,300,64,https://i.scdn.co/image/ab67616d00004851deec12a28d1e336c5052e9aa,64,"Ariana Grande, Big Sean",https://open.spotify.com/track/70yhaHLp9STtzI2Kzba6Tr,Best Mistake,67,spotify:track:70yhaHLp9STtzI2Kzba6Tr,userProfileDataTracksApp
[],640,https://i.scdn.co/image/ab67616d0000b2734bb9f35da9ff34b1e2314d8e,640,300,https://i.scdn.co/image/ab67616d00001e024bb9f35da9ff34b1e2314d8e,300,64,https://i.scdn.co/image/ab67616d000048514bb9f35da9ff34b1e2314d8e,64,Ariana Grande,https://open.spotify.com/track/2ofOe2OaXFpZF5ETbsc7Qu,Honeymoon Avenue,57,spotify:track:2ofOe2OaXFpZF5ETbsc7Qu,userProfileDataTracksApp
[],640,https://i.scdn.co/image/ab67616d0000b2732e92f776279eaf45d14a33fd,640,300,https://i.scdn.co/image/ab67616d00001e022e92f776279eaf45d14a33fd,300,64,https://i.scdn.co/image/ab67616d000048512e92f776279eaf45d14a33fd,64,"Mac Miller, Ariana Grande",https://open.spotify.com/track/66wkCYWlXzSTQAfnsPBptt,My Favorite Part,72,spotify:track:66wkCYWlXzSTQAfnsPBptt,userProfileDataTracksApp
[],640,https://i.scdn.co/image/ab67616d0000b2736484dfce3cc12e68d8aa2e55,640,300,https://i.scdn.co/image/ab67616d00001e026484dfce3cc12e68d8aa2e55,300,64,https://i.scdn.co/image/ab67616d000048516484dfce3cc12e68d8aa2e55,64,Ariana Grande,https://open.spotify.com/track/3yXToXVFzYJklkDWpzeRXb,obvious,54,spotify:track:3yXToXVFzYJklkDWpzeRXb,userProfileDataTracksApp
[],640,https://i.scdn.co/image/ab67616d0000b273ea28881e9e363244a4a2347b,640,300,https://i.scdn.co/image/ab67616d00001e02ea28881e9e363244a4a2347b,300,64,https://i.scdn.co/image/ab67616d00004851ea28881e9e363244a4a2347b,64,Ariana Grande,https://open.spotify.com/track/6NmCCgnQcxKHPOAKgd9Nth,Baby I,64,spotify:track:6NmCCgnQcxKHPOAKgd9Nth,userProfileDataTracksApp
[],640,https://i.scdn.co/image/ab67616d0000b273c3af0c2355c24ed7023cd394,640,300,https://i.scdn.co/image/ab67616d00001e02c3af0c2355c24ed7023cd394,300,64,https://i.scdn.co/image/ab67616d00004851c3af0c2355c24ed7023cd394,64,Ariana Grande,https://open.spotify.com/track/70khXICDeTTxgYtw3EysKH,sweetener,65,spotify:track:70khXICDeTTxgYtw3EysKH,userProfileDataTracksApp
[],640,https://i.scdn.co/image/ab67616d0000b273c75a14e746ffe2030e8cd5da,640,300,https://i.scdn.co/image/ab67616d00001e02c75a14e746ffe2030e8cd5da,300,64,https://i.scdn.co/image/ab67616d00004851c75a14e746ffe2030e8cd5da,64,Ariana Grande,https://open.spotify.com/track/2waUyWiimcCeA8DbJH8BtT,eternal sunshine,67,spotify:track:2waUyWiimcCeA8DbJH8BtT,userProfileDataTracksApp
[],640,https://i.scdn.co/image/ab67616d0000b2734bb9f35da9ff34b1e2314d8e,640,300,https://i.scdn.co/image/ab67616d00001e024bb9f35da9ff34b1e2314d8e,300,64,https://i.scdn.co/image/ab67616d000048514bb9f35da9ff34b1e2314d8e,64,Ariana Grande,https://open.spotify.com/track/5yxghrFKJbU7pcaUFEv1Sg,Tattooed Heart,56,spotify:track:5yxghrFKJbU7pcaUFEv1Sg,userProfileDataTracksApp
[],640,https://i.scdn.co/image/ab67616d0000b2739508fb7ca2eedc0d98b9139f,640,300,https://i.scdn.co/image/ab67616d00001e029508fb7ca2eedc0d98b9139f,300,64,https://i.scdn.co/image/ab67616d000048519508fb7ca2eedc0d98b9139f,64,Ariana Grande,https://open.spotify.com/track/3eZYOQO4UzKrUDYDghtnFw,test drive,64,spotify:track:3eZYOQO4UzKrUDYDghtnFw,userProfileDataTracksApp
